th_p,fa,fb,nb0,offset,pred_offset,offset_err,M,pred_M,M_err,delta,signflip
0.05,0.8,0.0,1.0,0.022323430604839874,0.02232343060483667,3.2057689836051395e-15,1.9697141656545463e-18,0.0,1.9697141656545463e-18,-3.141592653589793,False
0.05,0.8,0.2,1.0,0.019966683329365777,0.019966683329365617,1.5959455978986625e-16,0.01996668332936423,0.01996668332936568,1.4502288259166107e-15,4.8907933293044866e-14,False
0.05,0.8,0.4,1.0,0.017291654992551406,0.017291654992549876,1.5300261058115439e-15,0.028237154359997917,0.028237154359997733,1.8388068845354155e-16,-6.408949407469556e-14,True
0.05,0.8,0.6,1.0,0.01411857717999931,0.01411857717999882,4.909267437014364e-16,0.03458330998510054,0.03458330998509986,6.800116025829084e-16,-2.1934454172808902e-14,True
0.05,0.8,0.8,1.0,0.009983341664682384,0.009983341664682807,4.2327252813834093e-16,0.0399333666587299,0.03993336665873136,1.457167719820518e-15,7.722847227318666e-15,True
0.05,0.8,1.0,1.0,2.9016945409281974e-15,0.0,2.9016945409281974e-15,0.04464686120967447,0.04464686120967348,9.853229343548264e-16,-4.635392444504703e-15,True
0.05,1.0,0.0,1.0,3.1086244689504367e-15,0.0,3.1086244689504367e-15,5.869486729464316e-31,0.0,5.869486729464316e-31,-3.141592653589793,False
0.05,1.0,0.2,1.0,-6.521160690188485e-16,0.0,6.521160690188485e-16,0.022323430604836464,0.02232343060483674,2.7755575615628914e-16,-4.565888812140598e-14,True
0.05,1.0,0.4,1.0,2.0396780364693966e-15,0.0,2.0396780364693966e-15,0.03157009832005395,0.031570098320054744,7.91033905045424e-16,-1.2599178008198904e-14,True
0.05,1.0,0.6,1.0,4.999140127584286e-16,0.0,4.999140127584286e-16,0.03866531600681605,0.038665316006815276,7.771561172376096e-16,4.2998116539168715e-15,True
0.05,1.0,0.8,1.0,6.516196415198844e-16,0.0,6.516196415198844e-16,0.044646861209673205,0.04464686120967348,2.7755575615628914e-16,-2.4607692906879704e-15,True
0.05,1.0,1.0,1.0,2.411099822666492e-15,0.0,2.411099822666492e-15,0.04991670832341402,0.0499167083234142,1.8041124150158794e-16,-4.014529082165655e-14,True
0.1,0.0,0.0,1.0,0.09933466539753198,0.09933466539753054,1.4432899320127035e-15,8.496374239136578e-18,0.0,8.496374239136578e-18,-3.141592653589793,False
0.1,0.0,0.2,1.0,0.08884762574043027,0.08884762574042979,4.85722573273506e-16,1.0140876048085118e-15,0.0,1.0140876048085118e-15,2.0857038104396266,False
0.1,0.0,0.4,1.0,0.07694430095714781,0.07694430095714438,3.427813588530171e-15,1.8944232031587733e-15,0.0,1.8944232031587733e-15,-2.6589564001169874,False
0.1,0.0,0.6,1.0,0.0628247586533822,0.06282475865338236,1.5265566588595902e-16,1.6109098125785165e-15,0.0,1.6109098125785165e-15,0.5334781676041891,False
0.1,0.0,0.8,1.0,0.04442381287021497,0.044423812870214886,8.326672684688674e-17,4.3258637403097984e-16,0.0,4.3258637403097984e-16,0.6833484737531362,False
0.1,0.0,1.0,1.0,1.7069679003611782e-15,0.0,1.7069679003611782e-15,2.172825010123335e-16,0.0,2.172825010123335e-16,-0.27440741610040603,False
0.1,0.2,0.0,1.0,0.08884762574043358,0.08884762574042979,3.788636071533347e-15,1.187667216423129e-17,0.0,1.187667216423129e-17,-3.141592653589793,False
0.1,0.2,0.2,1.0,0.07946773231802542,0.07946773231802444,9.853229343548264e-16,0.019866933079507886,0.019866933079506172,1.7139067942650854e-15,-2.9585298438677385e-15,False
0.1,0.2,0.4,1.0,0.0688210749685535,0.0688210749685508,2.6922908347160046e-15,0.028096086203794324,0.02809608620379631,1.9845236565174673e-15,-6.026400076664166e-14,False
